"Title: State Data and Policy Actions to Address Coronavirus | KFF"
"Timeframe: Varies"
"Location","Waive Cost Sharing for COVID-19 Treatment","Free Cost Vaccine When Available","State Requires Waiver of Prior Authorization Requirements*","Early Prescription Refills","Premium Payment Grace Period","Expands Access to Telehealth Services","Marketplace Special Enrollment Period (SEP)","Section 1135 Waiver","Paid Sick Leave",Footnotes
"United States","State Requires (3); State-Insurer Agreement (3); No Action (45)","State Requires (9); State-Insurer Agreement (1); No Action (41)","For COVID-19 Testing (5); For COVID-19 Testing and Treatment (6); No Action (40)","State Requires (16); Expired (2); No Action (33)","Grace Period Extended for All Policies (2); Grace Period Extended for All Individual Policies (1); Grace Period Extended for COVID-19 Diagnosis/Impacts Only (3); Expired (11); No Action (34)","Yes (38); Expired (1); No (12)","Active (3); Ended (9); No (39)","Approved (51); No Action (0)","Enacted (13); Proposed (1); No action (37)"
"Louisiana","-","State Requires","For COVID-19 Testing","State Requires","Expired","Yes","-","Approved","-"
"Maine","-","State Requires","For COVID-19 Testing","State Requires","-","Yes","-","Approved","-"
"Maryland","-","State Requires","-","State Requires","Grace Period Extended for All Individual Policies","Yes","Ended","Approved","Enacted","4"
"Massachusetts","State Requires","State Requires","For COVID-19 Testing and Treatment","State Requires","-","Yes","Ended","Approved","Enacted"
"Michigan","State-Insurer Agreement","-","-","Expired","-","Yes","-","Approved","-"
"Minnesota","State-Insurer Agreement","-","-","-","-","-","Ended","Approved","-"
"Mississippi","-","-","-","-","Expired","Yes","-","Approved","-"
"Missouri","-","-","-","-","-","-","-","Approved","-"
"Montana","-","-","-","-","-","Yes","-","Approved","-"
"Nebraska","-","-","-","-","-","Yes","-","Approved","-"
"Nevada","-","State Requires","-","-","-","-","Ended","Approved","-"
"New Hampshire","-","-","For COVID-19 Testing","State Requires","-","Yes","-","Approved","-"
"New Jersey","-","-","-","-","Expired","Yes","-","Approved","Enacted"
"New Mexico","State Requires","-","-","-","-","Yes","-","Approved","-","2"
"New York","-","State Requires","-","-","COVID-19 Diagnosis/Impacts Only","Yes","Active","Approved","Enacted","5"
"North Carolina","-","-","-","-","Expired","Yes","-","Approved","-"
"North Dakota","-","-","-","-","-","Yes","-","Approved","-"
"Ohio","-","-","-","-","All Policies","Yes","-","Approved","-"
"Oklahoma","-","-","For COVID-19 Testing and Treatment","Expired","Expired","Expired","-","Approved","-","6"
"Oregon","-","State-Insurer Agreement","-","-","Expired","Yes","-","Approved","Enacted"
"Pennsylvania","-","-","For COVID-19 Testing","-","-","-","-","Approved","-"
"Rhode Island","-","State Requires","For COVID-19 Testing and Treatment","State Requires","-","Yes","Ended","Approved","Enacted"
"South Carolina","-","-","-","-","-","-","-","Approved","-"
"South Dakota","-","-","-","-","-","Yes","-","Approved","-"
"Tennessee","-","-","-","-","-","-","-","Approved","-"
"Texas","-","-","-","-","-","Yes","-","Approved","-"
"Utah","-","-","-","-","-","Yes","-","Approved","-"
"Vermont","-","-","-","-","-","Yes","Ended","Approved","Enacted"
"Virginia","-","-","-","-","-","Yes","-","Approved","-"
"Washington","-","-","For COVID-19 Testing and Treatment","State Requires","Expired","Yes","Ended","Approved","Enacted"
"West Virginia","-","-","-","State Requires","COVID-19 Diagnosis/Impacts Only","-","-","Approved","-"
"Wisconsin","-","-","-","-","-","-","-","Approved","-"
"Wyoming","-","-","-","-","-","-","-","Approved","-"
"Notes"
"For purposes of this table, states were included if they required insurers to take the listed actions. A number of states released guidance or recommendations for insurers to take the actions listed in this table but fell short of issuing a requirement and are thus not included."
""
"* The Families First Coronavirus Response Act requires all group health plans and individual health insurance policies to cover testing and associated visits related to the diagnosis of COVID-19 with no cost sharing and prohibits them from imposing prior authorization requirements on these services during the federally declared emergency period. Federal law supersedes any state requirements."
""
"See [here](https://www.kff.org/other/state-indicator/paid-family-and-sick-leave/) for more detailed information on paid sick leave policies."


Footnotes
"1. AL requires a premium nonpayment grace period in wake of Hurricane Sally, but not explicitly for those impacted by COVID-19."
"2. Both DC and NM are requiring insurers to waive cost-sharing for treatment of non-COVID respiratory illnesses such as pneumonia and influenza."
"3. DC's special enrollment period was not adopted in response to coronavirus, but is open to a broad group of people, including those who are uninsured."
"4. MD's premium nonpayment grace period requirement for individual policies was clarified on 8/11 to only be waived if the emergency coronavirus special enrollment period for the MHBE is in effect and if the carrier provides notice that the individual can enroll in coverage through this special enrollment period."
"5. While NY has not explicitly waived prior authorization requirements for COVID-19 treatment, the state has directed insurers to suspend prior authorization for all outpatient services delivered at hospitals, which could include services related to COVID-19."
"6. OK requires a premium nonpayment grace period extension for all health insurance policies and prohibits insurers from canceling coverage for anyone diagnosed with COVID-19 and unable to return to work or maintain coverage due to COVID-19."

