"Title: State Data and Policy Actions to Address Coronavirus | KFF"
"Timeframe: Varies"
"Location","Status of Reopening","Stay at Home Order","Mandatory Quarantine for Travelers","Non-Essential Business Closures","Large Gatherings Ban","Restaurant Limits","Bar Closures","Face Covering Requirement","Emergency Declaration",Footnotes
"Kentucky","New Restrictions Imposed","Lifted","Lifted","Some Non-Essential Businesses Permitted to Reopen","New Limit on Large Gatherings in Place","New Service Limits","New Service Limits","Required for General Public","Yes","5"
"Louisiana","Paused","Lifted","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded Limit to Greater Than 25","Reopened to Dine-in Service with Capacity Limits","New Service Limits","Required for General Public","Yes"
"Maine","New Restrictions Imposed","Lifted","All Travelers","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","New Limit on Large Gatherings in Place","Reopened to Dine-in Service with Capacity Limits","Closed","Required for General Public","Yes","14"
"Maryland","Proceeding with Reopening","Lifted","Lifted","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Lifted","Reopened to Dine-in Service with Capacity Limits","Reopened","Required for General Public","Yes"
"Massachusetts","New Restrictions Imposed","Rolled Back to High Risk Groups","All Travelers","New Business Closures or Limits","New Limit on Large Gatherings in Place","New Service Limits","Closed","Required for General Public","Yes","5, 6, 15"
"Michigan","New Restrictions Imposed","Lifted","-","Some Non-Essential Businesses Permitted to Reopen","New Limit on Large Gatherings in Place","Reopened to Dine-in Service with Capacity Limits","New Service Limits","Required for General Public","Yes"
"Minnesota","Proceeding with Reopening","Lifted","-","Some Non-Essential Businesses Permitted to Reopen",">10 People Prohibited","Reopened to Dine-in Service with Capacity Limits","Reopened","Required for General Public","Yes","6"
"Mississippi","New Restrictions Imposed","Lifted","-","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","New Limit on Large Gatherings in Place","Reopened to Dine-in Service with Capacity Limits","New Service Limits","Required for Certain Employees","Yes","6, 16"
"Missouri","Reopened","Lifted","-","All Non-Essential Businesses Permitted to Reopen","Lifted","Reopened to Dine-in Service","Reopened","-","Yes"
"Montana","Proceeding with Reopening","Lifted","Lifted","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded Limit to Greater Than 25","Reopened to Dine-in Service with Capacity Limits","Reopened","Required for General Public","Yes","17"
"Nebraska","Proceeding with Reopening","-","Rolled Back to International Travel","-","Expanded Limit to Greater Than 25","Reopened to Dine-in Service","Reopened","Required for Certain Employees","Yes","4, 6, 18"
"Nevada","New Restrictions Imposed","Lifted","-","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded Limit to Greater Than 25","Reopened to Dine-in Service with Capacity Limits","Reopened","Required for General Public","Yes","19"
"New Hampshire","Proceeding with Reopening","Lifted","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Lifted","Reopened to Dine-in Service with Capacity Limits","Reopened","Allows Local Officials to Require for General Public","Yes","20"
"New Jersey","New Restrictions Imposed","Lifted","From Certain States (New)","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","New Limit on Large Gatherings in Place","Reopened to Dine-in Service with Capacity Limits","Closed","Required for General Public","Yes","21"
"New Mexico","New Restrictions Imposed","Lifted","Rolled Back to Certain States","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","New Limit on Large Gatherings in Place","Reopened to Dine-in Service with Capacity Limits","Closed","Required for General Public","Yes"
"New York","New Restrictions Imposed","Rolled Back to High Risk Groups","From Certain States (New)","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded Limit to Greater Than 25","Reopened to Dine-in Service with Capacity Limits","Reopened","Required for General Public","Yes","22, 23"
"North Carolina","Paused","Lifted","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded Limit to 25 or Fewer","Reopened to Dine-in Service with Capacity Limits","New Service Limits","Required for General Public","Yes","6"
"North Dakota","New Restrictions Imposed","-","Lifted","All Non-Essential Businesses Permitted to Reopen","New Limit on Large Gatherings in Place","Reopened to Dine-in Service","Reopened","-","Yes","24"
"Ohio","Proceeding with Reopening","Lifted","Lifted","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded Limit to 25 or Fewer","Reopened to Dine-in Service","Reopened","Required for General Public","Yes"
"Oklahoma","Reopened","Lifted","Lifted","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Lifted","Reopened to Dine-in Service with Capacity Limits","Reopened","-","Yes"
"Oregon","New Restrictions Imposed","Lifted","-","Some Non-Essential Businesses Permitted to Reopen","New Limit on Large Gatherings in Place","New Service Limits","New Service Limits","Required for General Public","Yes","25"
"Pennsylvania","New Restrictions Imposed","Lifted","-","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","New Limit on Large Gatherings in Place","New Service Limits","Newly Closed","Required for General Public","Yes","6"
"Rhode Island","New Restrictions Imposed","Lifted","Rolled Back to Certain States","New Business Closures or Limits","New Limit on Large Gatherings in Place","New Service Limits","New Service Limits","Required for General Public","Yes"
"South Carolina","New Restrictions Imposed","Lifted","Lifted","All Non-Essential Businesses Permitted to Reopen","Lifted","New Service Limits","New Service Limits","Allows Local Officials to Require for General Public","Yes","26"
"South Dakota","Reopened","-","-","-","Lifted","-","Reopened","-","Yes"
"Tennessee","Proceeding with Reopening","Lifted","-","All Non-Essential Businesses Permitted to Reopen","Expanded Limit to Greater Than 25","Reopened to Dine-in Service","Reopened","Allows Local Officials to Require for General Public","Yes","27"
"Texas","New Restrictions Imposed","Lifted","Lifted","New Business Closures or Limits","New Limit on Large Gatherings in Place","Reopened to Dine-in Service with Capacity Limits","Reopened","Required for General Public","Yes","28, 29"
"Utah","Proceeding with Reopening","Lifted","Lifted","-","Expanded Limit to Greater Than 25","Reopened to Dine-in Service","Reopened","Required for Certain Employees","Yes","4, 30"
"Vermont","Proceeding with Reopening","Lifted","Rolled Back to Certain States","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded Limit to 25 or Fewer","Reopened to Dine-in Service with Capacity Limits","Reopened","Required for General Public","Yes","31"
"Virginia","Proceeding with Reopening","Lifted","-","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded Limit to Greater Than 25","Reopened to Dine-in Service","Closed","Required for General Public","Yes","32"
"Washington","Proceeding with Reopening","Lifted","-","Some Non-Essential Businesses Permitted to Reopen",">10 People Prohibited","Reopened to Dine-in Service with Capacity Limits","Closed","Required for General Public","Yes","33, 34"
"West Virginia","New Restrictions Imposed","Lifted","Lifted","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","New Limit on Large Gatherings in Place","Reopened to Dine-in Service with Capacity Limits","Reopened","Required for General Public","Yes"
"Wisconsin","Proceeding with Reopening","Lifted","-","All Non-Essential Businesses Permitted to Reopen","Lifted","Reopened to Dine-in Service","Reopened","Required for General Public","Yes","35"
"Wyoming","Proceeding with Reopening","-","Lifted","-","Expanded Limit to Greater Than 25","Reopened to Dine-in Service","Reopened","Required for Certain Employees","Yes","6, 36"
